url,price_rub,address,rooms,total_area_m2,floor,floors_total
https://krasnodar.cian.ru/sale/flat/301216801/?context=3.231vM7BKBaw.V3B3ujVnLrxU_cuo3FYgB7rkh33HNgCg29E7cyciUIFvpk3UBQ9kpM_3csF9LVMVSGZskF8m6p4LjA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3200000,"Краснодар, Прикубанский",1,42.0,6,19
https://krasnodar.cian.ru/sale/flat/300865973/?context=3.Ccxe0hsr4xk.hg5Hj7eGwE3rEqQEQeKKiqrFbWbkkMPPeYY03OdVVRFRnCkLLovVQcD2MD4Emhfsx0htNR_PrDrHqw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3200000,"Краснодар, Западный",1,39.0,2,3
https://krasnodar.cian.ru/sale/flat/325397794/?context=3.qrVVBVFvgLM.z4y4Iyij6Zl8HHsEXpSfklpjZiuxUbSlmNejYpFpk4obRjnoC6rB0B6jBRo9BalifBwqctIueL3hug&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3220000,"Краснодар, Карасунский",1,33.7,8,9
https://krasnodar.cian.ru/sale/flat/327835637/?context=3.BsRYS9Jz2Sk.rpLckEJyZfcUYkDk6uASgW4BzUAdHmoOUnqiGM-99PHlfnL4ohmPvr3BlfCwxl5w1qOO592dQMy3Mw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3227000,"Краснодар, Прикубанский",0,23.05,6,8
https://krasnodar.cian.ru/sale/flat/326646104/?context=3.Oj7yhQWieYw.FAt7scTSuuPO7CJ46bUnlNp1ZD0CkwhyIZlLul_g6Pre0RGYpaFahKPOMeA8EcFTxMzzvYCpC-LoYA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3300000,"Краснодар, Прикубанский",1,36.6,6,19
https://krasnodar.cian.ru/sale/flat/324143534/?context=3.WqPfshCr0pY.7r9JkQJcSqV4alPgGl0iK3AfSvOsqryIErlknnmb0DySy49YYVg-7gELO4LPLsbX2WwV41CNH9GyCQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3330000,"Краснодар, Прикубанский",1,34.5,11,16
https://krasnodar.cian.ru/sale/flat/328243644/?context=3.3D9zxVSTX_I._W5rDfdMhKyS37fGojMZtNTOpufKPlz9Zh_9BfsDebIeiBsHIUlFN09HyGB2DifoHnjjkpy2Q_g4gA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3350000,"Краснодар, Карасунский",1,33.0,4,6
https://krasnodar.cian.ru/sale/flat/294370661/?context=3.7P3kQwKKJls.8-1xJBv2LE8kZcHrRLGm9oF30PAK53F4YU9YjGg6Rqed4lJ7YbAjpBqHVy_X0aluCZAeMOH_F309Tw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3410000,"Краснодар, Карасунский",1,36.0,5,9
https://krasnodar.cian.ru/sale/flat/324143536/?context=3.PzO8UOty0E0.Nxh7t0voGpZN7GZEojMT0YipFIaesgm71QHJFGt5h0arpy3zuFLre628SgcPMO5pbBpAzx4g2bLkZw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3530000,"Краснодар, Прикубанский",1,31.6,16,18
https://krasnodar.cian.ru/sale/flat/328285068/?context=3.YKdEBUdZeDI.UtdeFDcuzKUlZXUtLxaS3Tklx3OXvpAiQfwBEX-tdh6XHtmP3PQTA5PV8sjsjNcVEa-1TE57POgNKg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3550000,"Краснодар, Прикубанский",1,43.0,6,6
https://krasnodar.cian.ru/sale/flat/298058823/?context=3.D1XUHaqWKUA.ajs4oQvpkqkYNFhmGAJ8gPqV4c3ZO4qEmM_ciCn-or5Z35gQc_ytZHWzwts-tolIbZcxkjj7gJTsCg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3550000,"Краснодар, Карасунский",0,29.0,2,3
https://krasnodar.cian.ru/sale/flat/326507133/?context=3.k0GVXorTO-o.dD-wgIO8R_UyycU6mEryExc5Eh2lgF5k3ZWVw6NRLaGjHxDwCO-GSQbpb7YnO3PKPJEIio--mIr6_Q&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3600000,"Краснодар, Карасунский",2,43.9,4,5
